     DATA THROUGH 2011               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
12921SAN ANTONIO, TX                  53     47     50     57     56     56     67     74     74     67     64     54     48     60
23176MILFORD, UT                      16     58     64     63     69     73     82     77     79     80     76     62     60     70
24127SALT LAKE CITY, UT               64     45     54     64     68     72     80     83     82     82     72     53     42     66
14742BURLINGTON, VT                   65     41     48     51     49     56     59     64     60     54     47     31     33     49
13733LYNCHBURG, VA                    52     52     56     58     62     62     65     62     62     61     62     56     53     59
13737NORFOLK, VA                      32     53     56     60     63     62     67     62     62     61     59     56     54     60
13740RICHMOND, VA                     46     54     58     62     66     66     70     68     66     65     63     59     54     63
94240QUILLAYUTE, WA                   30     22     30     34     35     37     35     43     44     47     34     21     19     33
24281SEATTLE C.O., WA                 31     28     34     42     47     52     49     63     56     53     37     28     23     43
24233SEATTLE SEA-TAC AP, WA           30     28     40     50     52     56     56     65     65     62     43     28     23     47
24157SPOKANE, WA                      48     28     41     55     61     65     67     80     78     72     55     29     23     55
13729ELKINS, WV                       11     29     32     39     46     44     48     44     44     45     46     37     28     40
14898GREEN BAY, WI                    60     49     52     54     56     61     65     66     63     57     48     38     40     54
14837MADISON, WI                      50     47     51     52     52     58     64     67     64     60     54     39     40     54
14839MILWAUKEE, WI                    55     44     47     50     53     60     65     69     66     59     54     39     38     54
24018CHEYENNE, WY                     64     64     67     67     63     61     67     69     68     70     69     61     60     66
24021LANDER, WY                       50     65     68     70     66     64     72     75     75     72     67     58     61     68
24029SHERIDAN, WY                     55     57     60     63     60     60     65     75     75     68     62     53     55     63
41415GUAM, PC                         41     48     53     57     57     56     51     40     36     38     38     40     38     46
21603JOHNSTON ISLAND, PC              22     70     74     74     70     74     78     79     76     73     65     59     62     71
40309KOROR, PC                        46     53     53     62     61     52     44     45     44     51     46     50     49     51
40710MAJURO, MARSHALL IS, PC          45     61     64     66     59     58     55     56     61     59     55     53     53     58
61705PAGO PAGO, AMER SAMOA, PC        42     45     47     47     42     34     35     40     44     51     45     46     47     44
40504POHNPEI, CAROLINE IS., PC        46     38     41     45     42     41     40     44     44     44     40     39     36     41
40505CHUUK, E. CAROLINE IS., PC       46     50     55     55     49     46     43     47     47     44     42     43     42     47
41606WAKE ISLAND, PC                  28     68     71     76     75     75     76     72     68     68     68     65     64     71
40308YAP, W CAROLINE IS., PC          47     57     59     66     66     63     52     47     45     49     47     52     48     54
11641SAN JUAN, PR                     51     68     70     76     71     64     65     69     68     62     64     59     61     66
